player_name,TS_pct,heightInCm,weightInKg
David Nwaba,0.585,195.6,97.1
David Stockton,0.757,180.3,74.8
David Wesley,0.492,185.4,92.1
David West,0.544,205.7,110.4
Davis Bertans,0.614,208.3,98.7
Davon Reed,0.444,198.1,94.8
De'Aaron Fox,0.525,190.5,80.9
Dean Wade,0.744,205.7,103.4
Deandre Ayton,0.59,215.9,113.4
DeAndre' Bembry,0.492,198.1,95.3
De'Andre Hunter,0.516,200.7,102.1
DeAndre Jordan,0.634,210.8,119.1
DeAndre Liggins,0.593,198.1,94.8
De'Anthony Melton,0.498,193,90.7
Dee Brown,0.43,182.9,83
Dejounte Murray,0.508,195.6,78.6
DeJuan Blair,0.517,200.7,122.1
Delon Wright,0.546,195.6,85.1
Delonte West,0.535,193,81.6
DeMar DeRozan,0.541,200.7,99.3
DeMarcus Cousins,0.539,210.8,122.5
DeMarcus Nelson,0.44,193,90.7
DeMarre Carroll,0.512,203.2,96.5
Demetris Nichols,0.34,203.2,98
Demetrius Jackson,0.611,185.4,91.2
Deng Adel,0.424,200.7,90.7
Dennis Horner,0.434,205.7,104.3
Dennis Schroder,0.514,185.4,77.5
Dennis Smith Jr.,0.458,190.5,90
Denzel Valentine,0.51,198.1,97.7
Deonte Burton,0.448,195.6,110
DeQuan Jones,0.485,203.2,100.2
Derek Anderson,0.521,195.6,88.5
Derek Fisher,0.515,185.4,94.6
DerMarr Johnson,0.534,205.7,94.2
Deron Williams,0.549,190.5,93.4
Derrick Brown,0.555,203.2,102.8
Derrick Byars,0.392,200.7,99.8
Derrick Caracter,0.532,205.7,124.7
Derrick Coleman,0.294,208.3,122.5
Derrick Favors,0.563,208.3,117.8
Derrick Jones Jr.,0.561,200.7,90.7
Derrick Rose,0.518,190.5,87
Derrick Walton Jr.,0.571,185.4,83.9
Derrick White,0.594,193,86.2
Derrick Williams,0.488,203.2,109
Derrick Zimmerman,0.667,190.5,88.5
DeSagana Diop,0.414,213.4,127
DeShawn Stevenson,0.479,195.6,98.1
Desmon Farmer,0.429,195.6,99.8
Desmond Mason,0.488,195.6,100.7
DeVaughn Akoon-Purcell,0.322,198.1,90.7
Devean George,0.49,203.2,107
Devin Booker,0.565,198.1,94.2
Devin Brown,0.502,195.6,97.5
Devin Ebanks,0.461,205.7,97.5
Devin Green,0.336,200.7,96.2
Devin Harris,0.55,190.5,85.1
Devin Robinson,0.475,203.2,90.7
Devon Hall,0.37,188,97.5
Devonte' Graham,0.497,188,86.2
Devyn Marble,0.365,198.1,90.7
Dewan Hernandez,0.34,208.3,106.6
Dewayne Dedmon,0.57,213.4,111.8
Dexter Pittman,0.289,210.8,131.9
Deyonta Davis,0.61,210.8,108
Diamond Stone,0.339,210.8,115.7
Diante Garrett,0.417,193,86.2
Dijon Thompson,0.512,203.2,89.6
Dikembe Mutombo,0.573,218.4,118.8
Dillon Brooks,0.512,200.7,100.5
Dion Glover,0.473,195.6,102.1
Dion Waiters,0.501,193,98.9
Dionte Christmas,0.489,195.6,93
Dirk Nowitzki,0.569,213.4,111.1
DJ Mbenga,0.487,213.4,114.4
DJ Stephens,0.485,195.6,85.3
DJ Strawberry,0.364,195.6,91.2
DJ White,0.467,205.7,112.5
Domantas Sabonis,0.563,210.8,110.2
Dominic McGuire,0.428,205.7,102.1
Dominique Jones,0.444,195.6,97.5
Donald Sloan,0.473,190.5,93
Donatas Motiejunas,0.5,213.4,103
Donell Taylor,0.437,195.6,85.3
Donovan Mitchell,0.547,190.5,97.5
Donta Hall,0.434,205.7,103.9
Donta Smith,0.531,200.7,97.5
Donte DiVincenzo,0.537,193,92.1
Donte Greene,0.479,210.8,102.5
Dontell Jefferson,0.559,195.6,88.5
Donyell Marshall,0.544,205.7,107
Dorell Wright,0.506,205.7,93.8
Dorian Finney-Smith,0.523,203.2,99.8
Doron Lamb,0.488,193,93
Doug Christie,0.414,198.1,93
Doug McDermott,0.57,203.2,101.2
Dragan Bender,0.496,215.9,104.8
Draymond Green,0.515,200.7,104.3
Drew Eubanks,0.726,208.3,111.1
Drew Gooden,0.499,208.3,112.8
Drew Gordon,0.428,205.7,111.1
Duje Dukan,0.3,205.7,99.8
Duncan Robinson,0.597,203.2,96.4
Dusty Hannahs,0.459,193,91.9
Dwayne Bacon,0.473,200.7,100.2
Dwayne Jones,0.403,210.8,113.8
Dwight Buycks,0.499,190.5,86.2
Dwight Howard,0.606,210.8,120.1
Dwight Powell,0.619,210.8,108.9
Dwyane Wade,0.552,193,98.8
Dzanan Musa,0.441,205.7,96.4
Earl Barron,0.408,213.4,114
Earl Boykins,0.506,165.1,60.3
Earl Clark,0.447,208.3,103.4
Earl Watson,0.477,185.4,87.4
Ed Davis,0.567,208.3,105.1
Eddie Basden,0.471,195.6,97.5
Eddie Gill,0.553,182.9,85.4
Eddie Griffin,0.393,208.3,106.1
Eddie House,0.533,185.4,80.4
Eddie Jones,0.528,198.1,90.7
Eddy Curry,0.568,213.4,131
Edmond Sumner,0.645,198.1,84.7
Eduardo Najera,0.503,203.2,105.7
Edwin Ubiles,0.362,198.1,92.5
Edy Tavares,0.594,221,119.1
Ekpe Udoh,0.526,208.3,111.1
Elden Campbell,0.408,213.4,126.6
Elfrid Payton,0.494,193,84.7
Elie Okobo,0.5,190.5,86.2
Elijah Millsap,0.341,200.7,99
Elliot Williams,0.468,196,86
Elton Brand,0.524,205.7,115.9
Emanuel Terry,0.571,205.7,99.8
Emeka Okafor,0.534,208.3,115.3
Emmanuel Mudiay,0.495,195.6,90.7
Enes Kanter,0.585,210.8,114
Eric Bledsoe,0.546,185.4,90.4
Eric Dawson,0.582,205.7,113.4
Eric Gordon,0.554,193,98.1
Eric Maynor,0.458,190.5,79.4
Eric Mika,0.773,208.3,105.7
Eric Moreland,0.637,208.3,105.7
Eric Paschall,0.573,198.1,115.7
Eric Piatkowski,0.531,200.7,97.5
Eric Snow,0.395,190.5,93
Eric Williams,0.511,203.2,99.8
Erick Dampier,0.552,210.8,120.2
Erick Green,0.452,193,83.9
Erick Strickland,0.453,190.5,98.9
Erik Daniels,0.361,203.2,97.1
Ersan Ilyasova,0.54,208.3,106.6
Ervin Johnson,0.491,210.8,111.1
Esteban Batista,0.507,208.3,122
Etan Thomas,0.542,208.3,117.9
E'Twaun Moore,0.524,193,86.6
Evan Fournier,0.566,200.7,92.4
Evan Turner,0.487,200.7,98.4
Fab Melo,0.451,213.4,115.7
Fabricio Oberto,0.588,208.3,111.1
Festus Ezeli,0.535,210.8,118.7
Flip Murray,0.484,190.5,89.8
Francisco Elson,0.471,213.4,107.4
Francisco Garcia,0.516,200.7,89.4
Frank Jackson,0.511,190.5,93
Frank Kaminsky,0.54,213.4,109.2
Frank Mason,0.422,180.3,86.2
Frank Ntilikina,0.448,198.1,89.2
Fred Hoiberg,0.664,195.6,95.3
Fred Jones,0.53,188,100.5
Fred VanVleet,0.521,185.4,88.7
Furkan Aldemir,0.517,208.3,108.9
Furkan Korkmaz,0.493,200.7,88
Gabe Pruitt,0.412,193,77.1
Gabe Vincent,0.316,190.5,90.7
Gal Mekel,0.275,190.5,86.6
Garret Siler,0.553,210.8,138.3
